Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
机械臂当前动作,Robotic_Arm_Current_Action,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂当前动作
机械臂当前位置,Robotic_Arm_Current_Position,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂当前位置
机械臂复位,Robotic_Arm_Reset,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂复位
机械臂动作触发,Robotic_Arm_Action_Trigger,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂动作触发
机械臂动作完成,Robotic_Arm_Action_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂动作完成
机械臂动作代码,Robotic_Arm_Action_Code,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂动作代码
机械臂初始化完成,Robotic_Arm_Initialization_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂初始化完成
机械臂初始化,Robotic_Arm_Initialize,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂初始化
孔板下料架_InPut[7],Well_Plate_Unloading_Rack_InPut[7],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[7]
孔板下料架_InPut[6],Well_Plate_Unloading_Rack_InPut[6],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[6]
孔板下料架_InPut[5],Well_Plate_Unloading_Rack_InPut[5],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[5]
孔板下料架_InPut[4],Well_Plate_Unloading_Rack_InPut[4],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[4]
孔板下料架_InPut[3],Well_Plate_Unloading_Rack_InPut[3],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[3]
孔板下料架_InPut[2],Well_Plate_Unloading_Rack_InPut[2],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[2]
孔板下料架_InPut[1],Well_Plate_Unloading_Rack_InPut[1],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[1]
孔板下料架_InPut[0],Well_Plate_Unloading_Rack_InPut[0],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板下料架_InPut[0]
孔板上料架_InPut[7],Well_Plate_Loading_Rack_InPut[7],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[7]
孔板上料架_InPut[6],Well_Plate_Loading_Rack_InPut[6],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[6]
孔板上料架_InPut[5],Well_Plate_Loading_Rack_InPut[5],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[5]
孔板上料架_InPut[4],Well_Plate_Loading_Rack_InPut[4],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[4]
孔板上料架_InPut[3],Well_Plate_Loading_Rack_InPut[3],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[3]
孔板上料架_InPut[2],Well_Plate_Loading_Rack_InPut[2],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[2]
孔板上料架_InPut[1],Well_Plate_Loading_Rack_InPut[1],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[1]
孔板上料架_InPut[0],Well_Plate_Loading_Rack_InPut[0],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.孔板上料架_InPut[0]
固体称量误差,Solid_Weighing_Error,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.固体称量误差
固体称量穴位,Solid_Weighing_Slot_Position,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.固体称量穴位
固体称量开始加工,Solid_Weighing_Start_Processing,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量开始加工
固体称量参数已执行,Solid_Weighing_Parameters_Executed,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.固体称量参数已执行
固体称量参数已下发,Solid_Weighing_Parameters_Sent,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量参数已下发
固体称量占位,Solid_Weighing_Occupied,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量占位
固体称量加工完成,Solid_Weighing_Processing_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量加工完成
固体称量初始化完成,Solid_Weighing_Initialization_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量初始化完成
固体称量初始化,Solid_Weighing_Initialize,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量初始化
固体称量克数,Solid_Weighing_Weight_in_Grams,VARIABLE,INT32,Chinese,ns=2;s=test1.device9.固体称量克数
固体称量允许加工,Solid_Weighing_Processing_Allowed,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体称量允许加工
