序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
5,S041允许加工,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC 放料完成等待参数下发,,ns=4;s=上位机通讯|S041允许加工
6,S041磁搅工艺选择,INT,,0,保持,公有,磁搅工位1_PC TO PLC 1搅拌，2加热，3搅拌+加热,,ns=4;s=上位机通讯|S041磁搅工艺选择
7,S041参数写入完成,BOOL,,OFF,保持,公有,磁搅工位1_PC TO PLC ,,ns=4;s=上位机通讯|S041参数写入完成
8,S041加工完成,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC,,ns=4;s=上位机通讯|S041加工完成
9,S042准备信号,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC 设备可以取放料,,ns=4;s=上位机通讯|S042准备信号
10,S042磁搅状态,INT,,0,保持,公有,磁搅工位2_PLC TO PC  1空闲，2Busy,,ns=4;s=上位机通讯|S042磁搅状态
11,S042允许加工,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC 放料完成等待参数下发,,ns=4;s=上位机通讯|S042允许加工
12,S042磁搅工艺选择,INT,,0,保持,私有,磁搅工位2_PC TO PLC 1搅拌，2加热，3搅拌+加热,,ns=4;s=上位机通讯|S042磁搅工艺选择
13,S042参数写入完成,BOOL,,OFF,保持,公有,磁搅工位2_PC TO PLC ,,ns=4;s=上位机通讯|S042参数写入完成
14,S042加工完成,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC,,ns=4;s=上位机通讯|S042加工完成
15,S043准备信号,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC 设备可以取放料,,ns=4;s=上位机通讯|S043准备信号
16,S043磁搅状态,INT,,0,保持,公有,磁搅工位3_PLC TO PC  1空闲，2Busy,,ns=4;s=上位机通讯|S043磁搅状态
17,S043允许加工,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC 放料完成等待参数下发,,ns=4;s=上位机通讯|S043允许加工
18,S043磁搅工艺选择,INT,,0,保持,公有,磁搅工位3_PC TO PLC 1搅拌，2加热，3搅拌+加热,,ns=4;s=上位机通讯|S043磁搅工艺选择
19,S043参数写入完成,BOOL,,OFF,保持,公有,磁搅工位3_PC TO PLC ,,ns=4;s=上位机通讯|S043参数写入完成
20,S043加工完成,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC,,ns=4;s=上位机通讯|S043加工完成
21,S044准备信号,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC 设备可以取放料,,ns=4;s=上位机通讯|S044准备信号
22,S044磁搅状态,INT,,0,保持,公有,磁搅工位4_PLC TO PC  1空闲，2Busy,R10431,ns=4;s=上位机通讯|S044磁搅状态
23,S044允许加工,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC 放料完成等待参数下发,R10430.1,ns=4;s=上位机通讯|S044允许加工
24,S044磁搅工艺选择,INT,,0,保持,公有,磁搅工位4_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10432,ns=4;s=上位机通讯|S044磁搅工艺选择
25,S044参数写入完成,BOOL,,OFF,保持,公有,磁搅工位4_PC TO PLC ,R10430.2,ns=4;s=上位机通讯|S044参数写入完成
26,S044加工完成,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC,R10430.3,ns=4;s=上位机通讯|S044加工完成
