# Type,FX4000
# Serial Number,FX4K261305
# Timestamp,2026-06-10 11:45:45
# Integration Time (ms),50.0
# Average Count,3

Wavelength (nm),Intensity
221.11991549737314,1635.6666666666667
221.21033351198435,1629.3333333333333
221.30075348000466,1606.0
221.39117540069435,1660.0
221.48159927331363,1661.3333333333333
221.57202509712275,1628.3333333333333
221.66245287138176,1650.3333333333333
221.752882595351,1631.3333333333333
221.84331426829058,1614.3333333333333
221.9337478894608,1622.3333333333333
222.02418345812177,1618.0
222.11462097353373,1641.0
222.20506043495683,1633.3333333333333
222.29550184165137,1604.3333333333333
222.38594519287747,1628.6666666666667
222.47639048789532,1626.3333333333333
222.5668377259652,1582.6666666666667
222.6572869063472,1564.6666666666667
222.74773802830163,1568.6666666666667
222.8381910910886,1593.0
222.92864609396838,1583.0
223.01910303620113,1591.0
223.10956191704707,1603.3333333333333
223.20002273576634,1575.3333333333333
223.29048549161925,1607.6666666666667
223.3809501838659,1605.3333333333333
223.47141681176657,1690.3333333333333
223.56188537458138,1654.0
223.65235587157062,1633.3333333333333
223.74282830199442,1615.0
223.83330266511297,1647.6666666666667
223.9237789601865,1624.3333333333333
224.01425718647525,1644.3333333333333
224.10473734323938,1665.6666666666667
224.19521942973904,1688.6666666666667
224.28570344523453,1656.6666666666667
224.37618938898598,1642.6666666666667
224.4666772602536,1604.6666666666667
224.5571670582976,1656.6666666666667
224.6476587823782,1623.0
224.73815243175557,1609.3333333333333
224.82864800568993,1600.6666666666667
224.91914550344146,1645.3333333333333
225.0096449242704,1660.6666666666667
225.10014626743686,1660.6666666666667
225.1906495322011,1617.3333333333333
225.28115471782337,1601.0
225.37166182356378,1624.3333333333333
225.46217084868263,1627.3333333333333
225.55268179243998,1664.0
225.64319465409616,1639.0
225.73370943291135,1627.6666666666667
225.82422612814565,1617.3333333333333
225.91474473905936,1626.0
226.00526526491265,1639.6666666666667
226.09578770496574,1629.0
226.1863120584788,1623.3333333333333
226.276838324712,1576.0
226.3673665029256,1593.3333333333333
226.45789659237983,1625.6666666666667
226.54842859233477,1630.3333333333333
226.63896250205073,1617.3333333333333
226.72949832078785,1585.0
226.82003604780638,1583.0
226.91057568236644,1612.6666666666667
227.00111722372833,1595.6666666666667
227.09166067115217,1619.0
227.1822060238982,1661.6666666666667
227.2727532812266,1663.3333333333333
227.36330244239758,1603.3333333333333
227.45385350667138,1598.3333333333333
227.54440647330813,1632.6666666666667
227.63496134156804,1653.6666666666667
227.72551811071136,1614.6666666666667
227.81607677999824,1580.3333333333333
227.90663734868892,1603.3333333333333
227.99719981604358,1660.3333333333333
228.08776418132237,1624.6666666666667
228.17833044378563,1646.3333333333333
228.2688986026934,1674.0
228.35946865730597,1636.6666666666667
228.4500406068835,1604.6666666666667
228.54061445068626,1619.3333333333333
228.63119018797437,1641.0
228.72176781800803,1649.0
228.8123473400475,1624.3333333333333
228.90292875335297,1585.6666666666667
228.9935120571846,1623.0
229.0840972508026,1641.6666666666667
229.17468433346724,1635.3333333333333
229.26527330443858,1632.6666666666667
229.3558641629769,1642.0
229.44645690834244,1637.0
229.53705153979533,1613.6666666666667
229.62764805659586,1590.0
229.71824645800413,1638.0
229.80884674328036,1631.3333333333333
229.89944891168483,1624.0
229.99005296247762,1618.6666666666667
230.080658894919,1629.3333333333333
230.17126670826917,1610.0
230.26187640178836,1611.3333333333333
230.35248797473665,1649.6666666666667
230.44310142637437,1596.0
230.53371675596165,1599.0
230.62433396275873,1585.3333333333333
230.71495304602578,1618.6666666666667
230.805574005023,1671.3333333333333
230.8961968390106,1671.6666666666667
230.9868215472488,1649.0
231.07744812899776,1652.3333333333333
231.16807658351772,1641.3333333333333
231.25870691006884,1620.6666666666667
231.34933910791136,1606.0
231.43997317630544,1640.0
231.53060911451132,1645.3333333333333
231.62124692178918,1621.6666666666667
231.7118865973992,1636.0
231.80252814060162,1646.6666666666667
231.8931715506566,1659.0
231.98381682682435,1681.0
232.07446396836514,1672.3333333333333
232.16511297453903,1620.3333333333333
232.25576384460635,1617.0
232.34641657782726,1623.3333333333333
232.43707117346193,1636.3333333333333
232.52772763077056,1670.0
232.61838594901343,1631.3333333333333
232.70904612745062,1604.3333333333333
232.79970816534242,1599.3333333333333
232.89037206194897,1648.6666666666667
232.98103781653052,1659.3333333333333
233.07170542834726,1658.0
233.16237489665937,1622.0
233.25304622072704,1646.6666666666667
233.34371939981054,1633.3333333333333
233.43439443316998,1613.0
233.5250713200656,1600.3333333333333
233.6157500597576,1615.3333333333333
233.70643065150617,1637.0
233.79711309457159,1648.3333333333333
233.88779738821393,1628.3333333333333
233.97848353169343,1658.0
234.06917152427036,1650.0
234.15986136520485,1684.3333333333333
234.2505530537571,1651.0
234.34124658918736,1614.6666666666667
234.4319419707558,1636.3333333333333
234.5226391977226,1656.0
234.61333826934802,1598.3333333333333
234.70403918489217,1626.3333333333333
