Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,设备模块
固体加样X位置反馈,Solid_XPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_XPosFB,"固体加样
1=X向左
2=X向右
3=Y向里
4=Y向外
5=夹爪Z向上
6=夹爪Z向下
7=D开门
8=D关门
9=取料筒时Y轴向里
10=取料筒时Y轴向外
11=加料
12=夹爪夹料
13=夹爪放料
14=天枰去皮
15=天枰称重
16=料筒Z向上
17=料筒Z向下
18=放料筒时Y轴向里
19=放料筒时Y轴向外
20=复位
21=夹爪夹紧
22=夹爪松开
23=xyz回原点"
固体加样Y位置反馈,Solid_YPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_YPosFB,
固体加样料筒Z位置反馈,Solid_MaterialZPosFB,VARIABLE,INT32,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_MaterialZPosFB,
固体加样夹爪Z位置反馈,Solid_GripperZPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_GripperZPosFB,
固体加样开关门位置反馈,Solid_DoorPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_DoorPosFB,
固体加样天枰重量反馈,Solid_WeightFB,VARIABLE,INT32,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_WeightFB,
固体加样完成反馈,Solid_CompleteFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_CompleteFB,
固体加样X运行位置,Solid_XPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_XPosSet,
固体加样Y运行位置,Solid_YPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_YPosSet,
固体加样料筒Z运行位置,Solid_MaterialZPosSet,VARIABLE,INT32,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_MaterialZPosSet,
固体加样加样量,Solid_VoluneWeightSet,VARIABLE,INT32,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_VoluneWeightSet,
固体加样夹爪Z运行位置,Solid_GripperZPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_GripperZPosSet,
固体加样门开关位置,Solid_DoorPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_DoorPosSet,
固体加样X速度,Solid_XSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_XSpeed,
固体加样Y速度,Solid_YSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_YSpeed,
固体加样料筒Z速度,Solid_MaterialZSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_MaterialZSpeed,
固体加样夹爪Z速度,Solid_GripperZSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_GripperZSpeed,
固体加样D速度,Solid_DoorSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_DoorSpeed,
固体加样指令类型,Solid_CmdType,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_CmdType,
固体加样指令触发,Solid_CmdTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_CmdTrig,
